libmtp-common,1.1.6-20-g1b9f164-1ubuntu2.1,all,32788
libmtp-doc,1.1.6-20-g1b9f164-1ubuntu2.1,all,271132
libnm-gtk-common,0.9.8.8-0ubuntu4.5,all,4370
libnux-4.0-common,4.0.6+14.04.20141107-0ubuntu1,amd64,45980
libpam-doc,1.1.8-1ubuntu2.2,all,211622
libpam-modules,1.1.8-1ubuntu2.2,amd64,234422
libpwquality-common,1.2.3-1ubuntu1.1,all,5400
libpython2.7-minimal,2.7.6-8ubuntu0.4,amd64,306538
libqscintilla2-l10n,2.8.1-2ubuntu1,all,44282
libqt5scintilla2-l10n,2.8.1-2ubuntu1,all,44296
libraw-doc,0.15.4-1ubuntu0.2,all,72690
libreoffice-dev-doc,1:4.2.8-0ubuntu5.3,all,20032340
libreoffice-style-human,1:4.2.8-0ubuntu5.3,all,1740014
libreoffice-style-tango,1:4.2.8-0ubuntu5.3,all,1621306
libsane-common,1.0.23-3ubuntu3.1,amd64,451138
libsbuild-doc,1.6.8-1ubuntu1.1,all,7215986
libservlet3.0-java,7.0.52-1ubuntu0.15,all,296080
libservlet3.0-java-doc,7.0.52-1ubuntu0.15,all,195562
libsmbsharemodes0,2:4.3.11+dfsg-0ubuntu0.14.04.17,amd64,7722
libsnmp-base,5.7.2~dfsg-8.1ubuntu3.2,all,203094
libsoup2.4-doc,2.44.2-1ubuntu2.3,all,200402
libssh-doc,0.6.1-0ubuntu3.3,all,194492
libssl-doc,1.0.1f-1ubuntu2.26,all,970742
libsvn-doc,1.8.8-1ubuntu3.3,all,1277276
libtiff-doc,4.0.3-7ubuntu0.9,all,299654
libufe-xidgetter0,3.0.0+14.04.20140416-0ubuntu1.14.04.1,amd64,2762
libunity-gtk-parser-dev-common,0.0.0+14.04.20141212-0ubuntu1,all,12690
libvdpau-doc,0.7-1ubuntu0.1,all,359034
libvirt-doc,1.2.2-0ubuntu13.1.27,all,1059082
libvte-2.90-common,1:0.34.9-1ubuntu2,all,23982
libvte-2.90-doc,1:0.34.9-1ubuntu2,all,61160
libwebkitgtk-1.0-common,2.4.10-0ubuntu0.14.04.1,all,107664
libwebkitgtk-3.0-common,2.4.10-0ubuntu0.14.04.1,all,107544
libwebkitgtk-common-dev,2.4.10-0ubuntu0.14.04.1,amd64,62370
libwmf-doc,0.2.8.4-10.3ubuntu1.14.04.1,all,216016
libwnck-3-common,3.4.7-0ubuntu3.1,all,18826
libx11-data,2:1.6.2-1ubuntu2.1,all,111464
libx11-doc,2:1.6.2-1ubuntu2.1,all,1447386
libxext-doc,2:1.3.2-1ubuntu0.0.14.04.1,all,56110
libxml2-doc,2.9.1+dfsg1-3ubuntu4.13,all,803404
libzeitgeist-2.0-doc,0.9.14-0ubuntu4.1,all,59878
linux-doc,3.13.0-100.147,all,8261882
linux-doc,3.13.0-101.148,all,8334794
linux-doc,3.13.0-103.150,all,8246690
linux-doc,3.13.0-105.152,all,8293906
linux-doc,3.13.0-106.153,all,8321148
linux-doc,3.13.0-107.154,all,8332926
linux-doc,3.13.0-108.155,all,8343932
linux-doc,3.13.0-109.156,all,8313076
linux-doc,3.13.0-110.157,all,8282166
linux-doc,3.13.0-112.159,all,8319912
linux-doc,3.13.0-113.160,all,8277636
linux-doc,3.13.0-115.162,all,8314836
linux-doc,3.13.0-116.163,all,8329444
linux-doc,3.13.0-117.164,all,8267770
linux-doc,3.13.0-119.166,all,8308530
linux-doc,3.13.0-121.170,all,8279764
linux-doc,3.13.0-123.172,all,8270882
linux-doc,3.13.0-125.174,all,8329070
linux-doc,3.13.0-126.175,all,8336722
linux-doc,3.13.0-128.177,all,8320296
linux-doc,3.13.0-129.178,all,8258358
linux-doc,3.13.0-132.181,all,8341104
linux-doc,3.13.0-133.182,all,8321160
linux-doc,3.13.0-135.184,all,8288326
linux-doc,3.13.0-137.186,all,8313814
linux-doc,3.13.0-139.188,all,8315832
linux-doc,3.13.0-141.190,all,8316374
