811,gir1.2-javascriptcoregtk-3.0,2.4.10-0ubuntu0.14.04.1,12586
831,git-doc,1:1.9.1-1ubuntu0.8,829118
832,git-man,1:1.9.1-1ubuntu0.8,700616
839,glib-networking-common,2.40.0-1ubuntu0.1,9254
847,gnome-control-center-data,1:3.6.3-0ubuntu56.1,1216476
848,gnome-control-center-dev,1:3.6.3-0ubuntu56.1,72684
849,gnome-control-center-shared-data,1:3.6.3-0ubuntu56.1,180626
850,gnome-desktop3-data,3.8.4-0ubuntu3.2,49846
854,gnome-session-common,3.9.90-0ubuntu12.1,42436
857,gnome-settings-daemon-schemas,3.8.6.1-0ubuntu11.2,44206
860,gnu-efi,3.0.8-0ubuntu1~14.04.1,117068
865,gnutls26-doc,2.12.23-12ubuntu2.8,2359130
872,graphviz-doc,2.36.0-0ubuntu3.2,3586446
885,grub-ipxe,1.0.0+git-20131111.c3d1e78-2ubuntu1.1,635228
943,hplip-doc,3.14.3-0ubuntu3.4,590952
945,hud-doc,14.04+14.04.20140604-0ubuntu1,9200
969,ibus-doc,1.5.5-1ubuntu3.2,243828
975,icedtea-netx-common,1.5.3-0ubuntu0.14.04.1,1120844
978,icu-doc,52.1-3ubuntu0.8,2584876
986,imagemagick-common,8:6.7.7.10-6ubuntu3.12,37738
988,imagemagick-doc,8:6.7.7.10-6ubuntu3.12,4220882
995,installation-guide-amd64,20100518ubuntu10.14.04.1,1215076
996,installation-guide-armhf,20100518ubuntu10.14.04.1,1063418
997,installation-guide-i386,20100518ubuntu10.14.04.1,1222876
998,installation-guide-powerpc,20100518ubuntu10.14.04.1,1118382
1004,iproute2-doc,3.12.0-2ubuntu1.2,918024
1009,ipxe-qemu,1.0.0+git-20131111.c3d1e78-2ubuntu1.1,509898
1035,krb5-doc,1.12+dfsg-2ubuntu5.3,2047092
1036,krb5-locales,1.12+dfsg-2ubuntu5.3,13506
1674,libaccountsservice-doc,0.6.35-0ubuntu7.3,21240
1685,libappindicator-doc,12.10.1+13.10.20130920-0ubuntu4.1,19174
1693,libapt-pkg-doc,1.0.1ubuntu2.18,669356
1720,libavahi-common-data,0.6.31-4ubuntu1.2,21288
1738,libbcmail-java-doc,1.49+dfsg-2ubuntu0.1,66776
1740,libbcpg-java-doc,1.49+dfsg-2ubuntu0.1,140986
1741,libbcpkix-java-doc,1.49+dfsg-2ubuntu0.1,291774
1742,libbcprov-java,1.49+dfsg-2ubuntu0.1,1977126
1743,libbcprov-java-doc,1.49+dfsg-2ubuntu0.1,1236230
1752,libboost-atomic1.54.0,1.54.0-4ubuntu3.1,8076
1777,libboost1.54-doc,1.54.0-4ubuntu3.1,36116610
1779,libbsh-java,2.0b4-15ubuntu0.14.04.1,264530
1799,libcairo2-doc,1.13.0~20140204-0ubuntu1.1,233660
1829,libclutter-gtk-1.0-doc,1.4.4-3ubuntu2.2,22250
1835,libcommons-httpclient-java-doc,3.1-10.2ubuntu0.14.04.1,740142
1866,libcurl4-doc,7.35.0-1ubuntu2.17,927460
1887,libdbusmenu-glib-doc,12.10.3+14.04.20140612-0ubuntu1,29256
1888,libdbusmenu-glib4,12.10.3+14.04.20140612-0ubuntu1,39688
1890,libdbusmenu-gtk-doc,12.10.3+14.04.20140612-0ubuntu1,15860
1895,libdbusmenu-jsonloader4,12.10.3+14.04.20140612-0ubuntu1,6972
2004,libexiv2-doc,0.23-1ubuntu2.1,39022
2013,libflac-doc,1.3.0-2ubuntu0.14.04.1,677942
2038,libgail-3-doc,3.10.8-0ubuntu1.6,22676
2042,libgail-doc,2.24.23-0ubuntu1.4,17278
2091,libgcrypt11-doc,1.5.3-2ubuntu4.6,616328
2099,libgdk-pixbuf2.0-common,2.30.7-0ubuntu1.8,9338
2101,libgdk-pixbuf2.0-doc,2.30.7-0ubuntu1.8,174108
2116,libgirepository1.0-doc,1.40.0-1ubuntu0.2,180896
2237,libglib2.0-data,2.40.2-0ubuntu1.1,116486
2239,libglib2.0-doc,2.40.2-0ubuntu1.1,1463490
2270,libgphoto2-l10n,2.5.3.1-1ubuntu2.2,7602
2275,libgraphite2-doc,1.3.10-0ubuntu0.14.04.1,523416
2279,libgs9-common,9.10~dfsg-0ubuntu10.13,2066256
2297,libgtk-3-doc,3.10.8-0ubuntu1.6,2566948
2305,libgtk2-perl-doc,2:1.249-2,1224704
2309,libgtk2.0-common,2.24.23-0ubuntu1.4,121064
2311,libgtk2.0-doc,2.24.23-0ubuntu1.4,2301190
2323,libharfbuzz-doc,0.9.27-1ubuntu1.1,46908
2344,libhunspell-1.3-0-dbg,1.3.2-6ubuntu2.1,275054
2347,libiberty-dev,20131116-1ubuntu0.2,136154
2434,libklibc,2.0.3-0ubuntu1.14.04.3,40644
2473,liblightdm-gobject-1-doc,1.10.6-0ubuntu1,20010
2493,liblouis-data,2.5.3-2ubuntu1.4,1007936
2516,libmbim-glib-doc,1.6.0-2ubuntu0.1,58366
2523,libmm-glib-doc,1.0.0-2ubuntu1.1,180402
2713,libmtp-common,1.1.6-20-g1b9f164-1ubuntu2.1,32788
2716,libmtp-doc,1.1.6-20-g1b9f164-1ubuntu2.1,271132
2743,libnm-gtk-common,0.9.8.8-0ubuntu4.5,4370
2763,libnux-4.0-common,4.0.6+14.04.20141107-0ubuntu1,45980
2799,libpam-doc,1.1.8-1ubuntu2.2,211622
2801,libpam-modules,1.1.8-1ubuntu2.2,234422
2898,libpwquality-common,1.2.3-1ubuntu1.1,5400
2904,libpython2.7-minimal,2.7.6-8ubuntu0.4,306538
2920,libqscintilla2-l10n,2.8.1-2ubuntu1,44282
2963,libqt5scintilla2-l10n,2.8.1-2ubuntu1,44296
2980,libraw-doc,0.15.4-1ubuntu0.2,72690
2996,libreoffice-dev-doc,1:4.2.8-0ubuntu5.3,20032340
3132,libreoffice-style-human,1:4.2.8-0ubuntu5.3,1740014
3133,libreoffice-style-tango,1:4.2.8-0ubuntu5.3,1621306
3151,libsane-common,1.0.23-3ubuntu3.1,451138
3156,libsbuild-doc,1.6.8-1ubuntu1.1,7215986
3169,libservlet3.0-java,7.0.52-1ubuntu0.15,296080
3170,libservlet3.0-java-doc,7.0.52-1ubuntu0.15,195562
3184,libsmbsharemodes0,2:4.3.11+dfsg-0ubuntu0.14.04.17,7722
3188,libsnmp-base,5.7.2~dfsg-8.1ubuntu3.2,203094
3198,libsoup2.4-doc,2.44.2-1ubuntu2.3,200402
3212,libssh-doc,0.6.1-0ubuntu3.3,194492
3214,libssl-doc,1.0.1f-1ubuntu2.26,970742
3239,libsvn-doc,1.8.8-1ubuntu3.3,1277276
3272,libtiff-doc,4.0.3-7ubuntu0.9,299654
